challenge_id,times,errors
0015752e-ff5a-4de7-bbe7-8c849f7ef756,"13.592630386352539, 42.527920961380005, 23.427120447158813, 35.44999670982361, 79.99096918106079, 36.2929847240448, 6.708833456039429, 28.181163787841797, 30.434314012527466, 43.060807943344116",
10a35ac0-b845-4a22-b3ae-68188f12a297,"58.28617882728577, 25.12843680381775, 24.133247137069702, 13.874715566635132, 6.298877716064453, 12.967818260192871, 43.59150004386902, 7.999921083450317, 40.87271499633789, 60.98391366004944",
283462a9-b584-4218-865e-65a064f83a1a,"24.2047176361084, 45.77821707725525, 54.75548577308655, 36.24211049079895, 54.80405354499817, 6.645872116088867, 7.631532907485962, 4.5511767864227295, 28.830751657485962, 11.657718181610107",
2b023616-ba14-4759-bffe-f4f84c8faa2b,"37.799769163131714, 61.79787278175354, 32.15515613555908, 34.39381194114685, 62.87677216529846, 31.74892568588257, 23.290119171142578, 37.05618667602539, 10.644861936569214, 21.78897190093994",
3a9c45a1-0cbe-473d-a73b-9f83114db638,"4.721447229385376, 4.285510778427124, 13.070267915725708, 19.07417917251587, 16.511939764022827, 75.50843381881714, 20.718515872955322, 16.46236562728882, 16.383822441101074, 10.473181962966919",
838bc160-c8a2-4fd3-b457-670ed343fb91,"25.721736907958984, 22.887736082077026, 12.808653116226196, 13.963721990585327, 3.087590456008911, 46.45290660858154, 42.840293407440186, 53.85832691192627, 4.550540924072266, 35.64312410354614",
8b9c0c00-30e7-4f50-8ceb-42478f15facd,"46.37725019454956, 34.267131328582764, 10.20072054862976, 19.213982820510864, 8.807637691497803, 14.532207489013672, 48.499170541763306, 15.613258123397827, 30.421263694763184, 13.376904487609863",
ae23fdeb-5103-472e-a8c2-843ebdfbee46,"84.32595682144165, 11.897024393081665, 4.8649396896362305, 63.376814126968384, 13.195987939834595, 29.992035627365112, 54.282461404800415, 28.62027883529663, 7.642346620559692",0.002440929
b1b2d752-7c48-45fc-93f3-84f3c7d6f2c4,"11.6185781955719, 46.53175592422485, 26.563421726226807, 17.19158387184143, 65.23486399650574, 63.02597117424011, 22.03254508972168, 18.5095157623291, 9.558432579040527, 125.70181727409363",
b8e93f35-bd4e-40bc-a07a-5230a822f7d0,"92.64692664146423, 31.663084745407104, 7.7141242027282715, 12.739453792572021, 43.40876221656799, 14.9845609664917, 7.843419551849365, 25.15232825279236, 16.03823685646057, 9.812395811080933",
d69f25b8-7901-4925-a9be-0d48f285a48d,"30.21757984161377, 22.353790044784546, 33.31199812889099, 43.354591846466064, 74.86790442466736, 17.763949632644653, 24.37531089782715, 47.67515778541565, 18.717649698257446, 14.702031373977661",
d9bfbba2-fc42-481a-bda6-f5f3f12b3d36,"25.383949041366577, 10.983698844909668, 84.58013415336609, 6.139990329742432, 24.040054082870483, 21.45218586921692, 47.66941237449646, 10.81769847869873, 33.3510537147522, 3.921600341796875",
e4a564f3-1bcb-4518-8e2a-61d9e3c64c8b,"9.257551193237305, 14.262280941009521, 25.482460737228394, 5.175062656402588, 67.08794331550598, 12.931079864501953, 95.44500350952148, 28.212838411331177, 4.258148431777954, 13.246248006820679",
e60dd253-2328-45e5-8875-be47a689f93a,"43.34636473655701, 42.39805841445923, 43.50422120094299, 52.619202613830566, 59.59297704696655, 45.00017762184143, 33.52468800544739, 11.379534006118774, 24.510398864746094, 43.441757678985596",
eedb99d6-7b93-4660-954b-d204274bf542,"21.47658061981201, 16.287758350372314, 31.577812433242798, 29.082896947860718, 8.436590909957886, 3.3897910118103027, 3.762965679168701, 12.85177993774414, 3.9539804458618164, 32.8196485042572",
f1a34da9-c618-4414-9c79-764fdfecefd1,"74.38797783851624, 83.76583480834961, 70.12783789634705, 88.95453262329102, 23.889814615249634, 58.27195954322815, 8.502166986465454, 24.14832830429077, 28.339236974716187, 13.562376022338867",
