"Time","Submission Time","Execution Time","Compilation Time","Code Push Time","Graphics Push Time"
2024-07-15 15:01:45,3.38,0.521,2.64,0.112,0.109
2024-07-15 15:02:00,3.78,0.410,2.64,0.367,0.354
2024-07-15 15:02:15,3.92,0.389,2.71,0.519,0.308
2024-07-15 15:02:30,4.13,0.314,2.73,0.545,0.548
2024-07-15 15:02:45,4.28,0.324,2.72,0.614,0.622
2024-07-15 15:03:00,4.07,0.345,2.65,0.438,0.635
2024-07-15 15:03:15,3.74,0.460,2.54,0.288,0.448
2024-07-15 15:03:30,3.41,0.449,2.55,0.122,0.283
2024-07-15 15:03:45,3.38,0.470,2.53,0.124,0.258
2024-07-15 15:04:00,3.23,0.383,2.62,0.120,0.113
2024-07-15 15:04:15,3.66,0.357,2.64,0.261,0.397
2024-07-15 15:04:30,3.66,0.276,2.72,0.258,0.398
2024-07-15 15:04:45,4.06,0.320,2.68,0.445,0.612
2024-07-15 15:05:00,3.73,0.328,2.67,0.447,0.285
2024-07-15 15:05:15,3.80,0.379,2.62,0.508,0.288
2024-07-15 15:05:30,3.52,0.345,2.66,0.400,0.120
2024-07-15 15:05:45,3.72,0.351,2.65,0.445,0.279
2024-07-15 15:06:00,3.84,0.351,2.65,0.399,0.442
2024-07-15 15:06:15,3.68,0.391,2.61,0.284,0.397
2024-07-15 15:06:30,3.57,0.394,2.61,0.288,0.280
2024-07-15 15:06:45,3.57,0.328,2.67,0.456,0.114
2024-07-15 15:07:00,3.94,0.313,2.69,0.628,0.312
2024-07-15 15:07:15,3.85,0.374,2.63,0.458,0.392
2024-07-15 15:07:30,3.83,0.473,2.53,0.293,0.533
2024-07-15 15:07:45,3.55,0.417,2.58,0.118,0.436
2024-07-15 15:08:00,3.71,0.423,2.58,0.121,0.593
2024-07-15 15:08:15,3.68,0.405,2.59,0.250,0.433
2024-07-15 15:08:30,3.64,0.460,2.54,0.253,0.388
2024-07-15 15:08:45,3.53,0.461,2.54,0.420,0.109
2024-07-15 15:09:00,3.72,0.487,2.51,0.450,0.267
2024-07-15 15:09:15,3.72,0.533,2.47,0.448,0.270
2024-07-15 15:09:30,3.87,0.509,2.49,0.443,0.432
2024-07-15 15:09:45,3.50,0.431,2.57,0.251,0.248
2024-07-15 15:10:00,3.71,0.394,2.61,0.276,0.435
2024-07-15 15:10:15,3.55,0.375,2.63,0.113,0.442
2024-07-15 15:10:30,3.89,0.375,2.62,0.281,0.610
2024-07-15 15:10:45,4.07,0.377,2.62,0.458,0.609
2024-07-15 15:11:00,4.10,0.337,2.66,0.697,0.400
2024-07-15 15:11:15,3.91,0.352,2.65,0.629,0.283
2024-07-15 15:11:30,3.66,0.392,2.61,0.545,0.116
2024-07-15 15:11:45,3.39,0.453,2.55,0.278,0.110
2024-07-15 15:12:00,3.62,0.406,2.59,0.316,0.307
2024-07-15 15:12:15,3.71,0.367,2.63,0.264,0.445
2024-07-15 15:12:30,3.84,0.345,2.65,0.325,0.511
2024-07-15 15:12:45,3.61,0.390,2.61,0.245,0.364
2024-07-15 15:13:00,3.45,0.394,2.61,0.127,0.318
2024-07-15 15:13:15,3.53,0.379,2.62,0.129,0.399
2024-07-15 15:13:30,4.05,0.325,2.68,0.341,0.708
2024-07-15 15:13:45,4.24,0.313,2.69,0.385,0.852
2024-07-15 15:14:00,4.24,0.353,2.65,0.465,0.774
2024-07-15 15:14:15,3.24,0.461,2.54,0.123,0.122
2024-07-15 15:14:30,3.24,0.461,2.54,0.123,0.122
