"Time","Average Execution Time"
2024-08-08 18:38:00,NaN
2024-08-08 18:38:15,NaN
2024-08-08 18:38:30,NaN
2024-08-08 18:38:45,NaN
2024-08-08 18:39:00,NaN
2024-08-08 18:39:15,1.91 s
2024-08-08 18:39:30,2.35 s
2024-08-08 18:39:45,2.31 s
2024-08-08 18:40:00,2.37 s
2024-08-08 18:40:15,2.32 s
2024-08-08 18:40:30,2.32 s
2024-08-08 18:40:45,2.18 s
2024-08-08 18:41:00,2.12 s
2024-08-08 18:41:15,2.15 s
2024-08-08 18:41:30,2.23 s
2024-08-08 18:41:45,2.31 s
2024-08-08 18:42:00,2.26 s
2024-08-08 18:42:15,2.21 s
2024-08-08 18:42:30,2.36 s
2024-08-08 18:42:45,2.31 s
2024-08-08 18:43:00,2.26 s
2024-08-08 18:43:15,2.11 s
2024-08-08 18:43:30,2.14 s
2024-08-08 18:43:45,2.20 s
2024-08-08 18:44:00,2.12 s
2024-08-08 18:44:15,2.14 s
2024-08-08 18:44:30,2.13 s
2024-08-08 18:44:45,2.08 s
2024-08-08 18:45:00,2.00 s
2024-08-08 18:45:15,1.75 s
2024-08-08 18:45:30,NaN
2024-08-08 18:45:45,NaN
2024-08-08 18:46:00,NaN
