"Time","Waiting for Executor"
2024-08-08 18:38:00,0
2024-08-08 18:38:15,0
2024-08-08 18:38:30,0
2024-08-08 18:38:45,0
2024-08-08 18:39:00,0
2024-08-08 18:39:15,0
2024-08-08 18:39:30,38
2024-08-08 18:39:45,74
2024-08-08 18:40:00,109
2024-08-08 18:40:15,143
2024-08-08 18:40:30,173
2024-08-08 18:40:45,203
2024-08-08 18:41:00,192
2024-08-08 18:41:15,175
2024-08-08 18:41:30,165
2024-08-08 18:41:45,153
2024-08-08 18:42:00,135
2024-08-08 18:42:15,122
2024-08-08 18:42:30,109
2024-08-08 18:42:45,97
2024-08-08 18:43:00,85
2024-08-08 18:43:15,70
2024-08-08 18:43:30,56
2024-08-08 18:43:45,38
2024-08-08 18:44:00,25
2024-08-08 18:44:15,15
2024-08-08 18:44:30,0
2024-08-08 18:44:45,0
2024-08-08 18:45:00,0
2024-08-08 18:45:15,0
2024-08-08 18:45:30,0
2024-08-08 18:45:45,0
2024-08-08 18:46:00,0
