"Time","Average Compilation Time"
2024-08-08 13:47:30,NaN
2024-08-08 13:47:45,NaN
2024-08-08 13:48:00,NaN
2024-08-08 13:48:15,NaN
2024-08-08 13:48:30,NaN
2024-08-08 13:48:45,NaN
2024-08-08 13:49:00,NaN
2024-08-08 13:49:15,NaN
2024-08-08 13:49:30,NaN
2024-08-08 13:49:45,NaN
2024-08-08 13:50:00,NaN
2024-08-08 13:50:15,NaN
2024-08-08 13:50:30,72.0 ms
2024-08-08 13:50:45,61.2 ms
2024-08-08 13:51:00,61.0 ms
2024-08-08 13:51:15,57.7 ms
2024-08-08 13:51:30,57.4 ms
2024-08-08 13:51:45,55.6 ms
2024-08-08 13:52:00,55.7 ms
2024-08-08 13:52:15,55.7 ms
2024-08-08 13:52:30,55.6 ms
2024-08-08 13:52:45,55.6 ms
2024-08-08 13:53:00,57.0 ms
2024-08-08 13:53:15,57.4 ms
2024-08-08 13:53:30,57.3 ms
2024-08-08 13:53:45,57.9 ms
2024-08-08 13:54:00,58.2 ms
2024-08-08 13:54:15,58.1 ms
2024-08-08 13:54:30,56.3 ms
2024-08-08 13:54:45,55.9 ms
2024-08-08 13:55:00,57.5 ms
2024-08-08 13:55:15,61.6 ms
2024-08-08 13:55:30,63.7 ms
2024-08-08 13:55:45,62.9 ms
2024-08-08 13:56:00,70.4 ms
2024-08-08 13:56:15,68.7 ms
2024-08-08 13:56:30,67.8 ms
2024-08-08 13:56:45,60.6 ms
2024-08-08 13:57:00,60.6 ms
2024-08-08 13:57:15,60.8 ms
2024-08-08 13:57:30,60.8 ms
2024-08-08 13:57:45,63.1 ms
2024-08-08 13:58:00,64.6 ms
2024-08-08 13:58:15,62.2 ms
2024-08-08 13:58:30,58.0 ms
2024-08-08 13:58:45,NaN
2024-08-08 13:59:00,NaN
2024-08-08 13:59:15,NaN
2024-08-08 13:59:30,NaN
2024-08-08 13:59:45,NaN
2024-08-08 14:00:00,NaN
2024-08-08 14:00:15,NaN
2024-08-08 14:00:30,NaN
2024-08-08 14:00:45,NaN
2024-08-08 14:01:00,NaN
2024-08-08 14:01:15,NaN
2024-08-08 14:01:30,NaN
2024-08-08 14:01:45,NaN
2024-08-08 14:02:00,NaN
2024-08-08 14:02:15,NaN
2024-08-08 14:02:30,NaN
