"Time","Average Compilation Time"
2024-08-08 13:47:30,NaN
2024-08-08 13:47:45,NaN
2024-08-08 13:48:00,NaN
2024-08-08 13:48:15,NaN
2024-08-08 13:48:30,NaN
2024-08-08 13:48:45,NaN
2024-08-08 13:49:00,NaN
2024-08-08 13:49:15,NaN
2024-08-08 13:49:30,NaN
2024-08-08 13:49:45,NaN
2024-08-08 13:50:00,NaN
2024-08-08 13:50:15,NaN
2024-08-08 13:50:30,45.7 ms
2024-08-08 13:50:45,42.2 ms
2024-08-08 13:51:00,41.9 ms
2024-08-08 13:51:15,41.2 ms
2024-08-08 13:51:30,41.6 ms
2024-08-08 13:51:45,42.0 ms
2024-08-08 13:52:00,41.4 ms
2024-08-08 13:52:15,41.0 ms
2024-08-08 13:52:30,40.6 ms
2024-08-08 13:52:45,41.7 ms
2024-08-08 13:53:00,42.4 ms
2024-08-08 13:53:15,42.1 ms
2024-08-08 13:53:30,41.7 ms
2024-08-08 13:53:45,41.1 ms
2024-08-08 13:54:00,41.3 ms
2024-08-08 13:54:15,41.3 ms
2024-08-08 13:54:30,41.6 ms
2024-08-08 13:54:45,41.1 ms
2024-08-08 13:55:00,41.4 ms
2024-08-08 13:55:15,41.9 ms
2024-08-08 13:55:30,42.6 ms
2024-08-08 13:55:45,47.0 ms
2024-08-08 13:56:00,55.2 ms
2024-08-08 13:56:15,54.3 ms
2024-08-08 13:56:30,48.7 ms
2024-08-08 13:56:45,42.8 ms
2024-08-08 13:57:00,43.2 ms
2024-08-08 13:57:15,43.8 ms
2024-08-08 13:57:30,55.2 ms
2024-08-08 13:57:45,56.1 ms
2024-08-08 13:58:00,59.5 ms
2024-08-08 13:58:15,43.3 ms
2024-08-08 13:58:30,43.8 ms
2024-08-08 13:58:45,NaN
2024-08-08 13:59:00,NaN
2024-08-08 13:59:15,NaN
2024-08-08 13:59:30,NaN
2024-08-08 13:59:45,NaN
2024-08-08 14:00:00,NaN
2024-08-08 14:00:15,NaN
2024-08-08 14:00:30,NaN
2024-08-08 14:00:45,NaN
2024-08-08 14:01:00,NaN
2024-08-08 14:01:15,NaN
2024-08-08 14:01:30,NaN
2024-08-08 14:01:45,NaN
2024-08-08 14:02:00,NaN
2024-08-08 14:02:15,NaN
2024-08-08 14:02:30,NaN
