"Time","Number of processed executions p/ minute"
2024-08-08 13:50:15,0
2024-08-08 13:50:30,0
2024-08-08 13:50:45,-46.7
2024-08-08 13:51:00,-97.3
2024-08-08 13:51:15,-148
2024-08-08 13:51:30,-148
2024-08-08 13:51:45,-149
2024-08-08 13:52:00,-147
2024-08-08 13:52:15,-109
2024-08-08 13:52:30,-46.7
2024-08-08 13:52:45,17.3
2024-08-08 13:53:00,37.3
2024-08-08 13:53:15,42.7
2024-08-08 13:53:30,37.3
2024-08-08 13:53:45,42.7
2024-08-08 13:54:00,37.3
2024-08-08 13:54:15,42.7
2024-08-08 13:54:30,38.7
2024-08-08 13:54:45,42.7
2024-08-08 13:55:00,42.7
2024-08-08 13:55:15,41.3
2024-08-08 13:55:30,42.7
2024-08-08 13:55:45,37.3
2024-08-08 13:56:00,42.7
2024-08-08 13:56:15,38.7
2024-08-08 13:56:30,45.3
2024-08-08 13:56:45,40
2024-08-08 13:57:00,38.7
2024-08-08 13:57:15,37.3
2024-08-08 13:57:30,37.3
2024-08-08 13:57:45,44.0
2024-08-08 13:58:00,34.7
2024-08-08 13:58:15,24.0
2024-08-08 13:58:30,6.67
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
