"Time","Average Execution Time"
2024-08-08 19:06:00,3.17 s
2024-08-08 19:06:15,3.17 s
2024-08-08 19:06:30,NaN
2024-08-08 19:06:45,NaN
2024-08-08 19:07:00,NaN
2024-08-08 19:07:15,3.00 s
2024-08-08 19:07:30,3 s
2024-08-08 19:07:45,3 s
2024-08-08 19:08:00,3.03 s
2024-08-08 19:08:15,3.04 s
2024-08-08 19:08:30,3.03 s
2024-08-08 19:08:45,3 s
2024-08-08 19:09:00,3 s
2024-08-08 19:09:15,3.00 s
2024-08-08 19:09:30,3.00 s
2024-08-08 19:09:45,3 s
2024-08-08 19:10:00,3 s
2024-08-08 19:10:15,3 s
2024-08-08 19:10:30,3.00 s
2024-08-08 19:10:45,3.00 s
2024-08-08 19:11:00,3.00 s
2024-08-08 19:11:15,3 s
2024-08-08 19:11:30,3.03 s
2024-08-08 19:11:45,3.04 s
2024-08-08 19:12:00,3.03 s
2024-08-08 19:12:15,3 s
2024-08-08 19:12:30,3 s
2024-08-08 19:12:45,3 s
2024-08-08 19:13:00,3 s
2024-08-08 19:13:15,3 s
2024-08-08 19:13:30,3 s
2024-08-08 19:13:45,3 s
2024-08-08 19:14:00,3 s
2024-08-08 19:14:15,3 s
2024-08-08 19:14:30,3 s
2024-08-08 19:14:45,3 s
2024-08-08 19:15:00,3 s
2024-08-08 19:15:15,3.00 s
2024-08-08 19:15:30,3.00 s
2024-08-08 19:15:45,3 s
2024-08-08 19:16:00,3 s
2024-08-08 19:16:15,3 s
2024-08-08 19:16:30,3.00 s
2024-08-08 19:16:45,3 s
2024-08-08 19:17:00,3.00 s
2024-08-08 19:17:15,3 s
2024-08-08 19:17:30,3 s
2024-08-08 19:17:45,3.00 s
2024-08-08 19:18:00,3 s
2024-08-08 19:18:15,3.00 s
2024-08-08 19:18:30,3.04 s
2024-08-08 19:18:45,3.04 s
2024-08-08 19:19:00,3.04 s
2024-08-08 19:19:15,3 s
2024-08-08 19:19:30,3.00 s
2024-08-08 19:19:45,3 s
2024-08-08 19:20:00,3.99 s
2024-08-08 19:20:15,3.83 s
2024-08-08 19:20:30,3.86 s
2024-08-08 19:20:45,3.04 s
2024-08-08 19:21:00,3.03 s
2024-08-08 19:21:15,3.00 s
2024-08-08 19:21:30,3.12 s
2024-08-08 19:21:45,3.18 s
2024-08-08 19:22:00,3.18 s
2024-08-08 19:22:15,3.02 s
2024-08-08 19:22:30,3.00 s
2024-08-08 19:22:45,3.00 s
2024-08-08 19:23:00,3.03 s
2024-08-08 19:23:15,3.03 s
2024-08-08 19:23:30,3.03 s
2024-08-08 19:23:45,3 s
2024-08-08 19:24:00,3.00 s
2024-08-08 19:24:15,3.00 s
2024-08-08 19:24:30,3 s
2024-08-08 19:24:45,3 s
2024-08-08 19:25:00,3.00 s
2024-08-08 19:25:15,NaN
2024-08-08 19:25:30,NaN
2024-08-08 19:25:45,NaN
2024-08-08 19:26:00,NaN
