"Time","Code Executor","Game Renderer","Total Usage"
2024-08-08 15:35:00,438 µs,3.00 ms,3.44 ms
2024-08-08 15:35:15,452 µs,3.03 ms,3.49 ms
2024-08-08 15:35:30,447 µs,3.04 ms,3.49 ms
2024-08-08 15:35:45,469 µs,3.05 ms,3.52 ms
2024-08-08 15:36:00,482 µs,3.06 ms,3.54 ms
2024-08-08 15:36:15,490 µs,3.07 ms,3.56 ms
2024-08-08 15:36:30,502 µs,3.09 ms,3.59 ms
2024-08-08 15:36:45,510 µs,3.10 ms,3.61 ms
2024-08-08 15:37:00,523 µs,3.09 ms,3.61 ms
2024-08-08 15:37:15,532 µs,3.12 ms,3.65 ms
2024-08-08 15:37:30,544 µs,3.13 ms,3.67 ms
2024-08-08 15:37:45,532 µs,3.12 ms,3.65 ms
2024-08-08 15:38:00,532 µs,3.12 ms,3.65 ms
2024-08-08 15:38:15,532 µs,4.87 ms,5.40 ms
2024-08-08 15:38:30,532 µs,5.77 ms,6.31 ms
2024-08-08 15:38:45,532 µs,5.40 ms,5.93 ms
2024-08-08 15:39:00,532 µs,5.40 ms,5.93 ms
2024-08-08 15:39:15,494 µs,5.38 ms,5.88 ms
2024-08-08 15:39:30,487 µs,5.38 ms,5.86 ms
2024-08-08 15:39:45,540 µs,6.12 ms,6.66 ms
2024-08-08 15:40:00,559 µs,6.12 ms,6.68 ms
2024-08-08 15:40:15,530 µs,7.10 ms,7.63 ms
2024-08-08 15:40:30,526 µs,7.10 ms,7.63 ms
2024-08-08 15:40:45,487 µs,7.08 ms,7.56 ms
2024-08-08 15:41:00,448 µs,7.22 ms,7.67 ms
2024-08-08 15:41:15,443 µs,8.63 ms,9.07 ms
2024-08-08 15:41:30,424 µs,10.8 ms,11.3 ms
2024-08-08 15:41:45,479 µs,10.2 ms,10.7 ms
2024-08-08 15:42:00,467 µs,11.9 ms,12.3 ms
2024-08-08 15:42:15,528 µs,11.9 ms,12.4 ms
2024-08-08 15:42:30,536 µs,11.9 ms,12.4 ms
2024-08-08 15:42:45,524 µs,11.9 ms,12.4 ms
2024-08-08 15:43:00,582 µs,11.9 ms,12.4 ms
2024-08-08 15:43:15,536 µs,14.8 ms,15.3 ms
