"Time","Code Executor","Game Renderer","Total Usage"
2024-08-08 15:35:00,12.7 MB,3.17 MB,15.8 MB
2024-08-08 15:35:15,13.2 MB,3.23 MB,16.4 MB
2024-08-08 15:35:30,13.2 MB,3.23 MB,16.4 MB
2024-08-08 15:35:45,11.1 MB,2.65 MB,13.8 MB
2024-08-08 15:36:00,11.1 MB,2.65 MB,13.8 MB
2024-08-08 15:36:15,11.1 MB,2.65 MB,13.8 MB
2024-08-08 15:36:30,11.1 MB,2.65 MB,13.8 MB
2024-08-08 15:36:45,11.1 MB,2.65 MB,13.8 MB
2024-08-08 15:37:00,11.1 MB,2.65 MB,13.8 MB
2024-08-08 15:37:15,9.71 MB,2.60 MB,12.3 MB
2024-08-08 15:37:30,10.8 MB,2.61 MB,13.4 MB
2024-08-08 15:37:45,9.40 MB,2.62 MB,12.0 MB
2024-08-08 15:38:00,9.40 MB,2.61 MB,12.0 MB
2024-08-08 15:38:15,10.4 MB,2.56 MB,13.0 MB
2024-08-08 15:38:30,9.48 MB,2.49 MB,12.0 MB
2024-08-08 15:38:45,10.3 MB,2.45 MB,12.7 MB
2024-08-08 15:39:00,10.3 MB,2.51 MB,12.8 MB
2024-08-08 15:39:15,9.74 MB,2.47 MB,12.2 MB
2024-08-08 15:39:30,9.16 MB,2.47 MB,11.6 MB
2024-08-08 15:39:45,9.00 MB,2.50 MB,11.5 MB
2024-08-08 15:40:00,8.60 MB,2.50 MB,11.1 MB
2024-08-08 15:40:15,8.89 MB,2.47 MB,11.4 MB
2024-08-08 15:40:30,9.14 MB,2.47 MB,11.6 MB
2024-08-08 15:40:45,8.48 MB,2.49 MB,11.0 MB
2024-08-08 15:41:00,9.04 MB,2.50 MB,11.5 MB
2024-08-08 15:41:15,9.25 MB,2.50 MB,11.8 MB
2024-08-08 15:41:30,9.44 MB,2.51 MB,11.9 MB
2024-08-08 15:41:45,9.77 MB,2.52 MB,12.3 MB
2024-08-08 15:42:00,9.49 MB,2.52 MB,12.0 MB
2024-08-08 15:42:15,9.97 MB,2.54 MB,12.5 MB
2024-08-08 15:42:30,9.21 MB,2.54 MB,11.8 MB
2024-08-08 15:42:45,9.20 MB,2.51 MB,11.7 MB
2024-08-08 15:43:00,8.94 MB,2.51 MB,11.5 MB
2024-08-08 15:43:15,8.78 MB,2.54 MB,11.3 MB
2024-08-08 15:43:30,9.22 MB,2.56 MB,11.8 MB
2024-08-08 15:43:45,8.37 MB,2.56 MB,10.9 MB
2024-08-08 15:44:00,8.78 MB,2.53 MB,11.3 MB
2024-08-08 15:44:15,8.86 MB,2.54 MB,11.4 MB
2024-08-08 15:44:30,9.06 MB,2.54 MB,11.6 MB
2024-08-08 15:44:45,9.06 MB,2.55 MB,11.6 MB
2024-08-08 15:45:00,9.32 MB,2.55 MB,11.9 MB
2024-08-08 15:45:15,9.47 MB,2.56 MB,12.0 MB
2024-08-08 15:45:30,9.04 MB,2.57 MB,11.6 MB
2024-08-08 15:45:45,9.20 MB,2.55 MB,11.8 MB
2024-08-08 15:46:00,9.03 MB,2.53 MB,11.6 MB
2024-08-08 15:46:15,9.21 MB,2.54 MB,11.7 MB
2024-08-08 15:46:30,9.04 MB,2.53 MB,11.6 MB
2024-08-08 15:46:45,8.59 MB,2.52 MB,11.1 MB
2024-08-08 15:47:00,9.02 MB,2.52 MB,11.5 MB
2024-08-08 15:47:15,8.84 MB,2.52 MB,11.4 MB
2024-08-08 15:47:30,9.11 MB,2.52 MB,11.6 MB
2024-08-08 15:47:45,9.46 MB,2.54 MB,12.0 MB
2024-08-08 15:48:00,9.76 MB,2.54 MB,12.3 MB
2024-08-08 15:48:15,9.90 MB,2.51 MB,12.4 MB
2024-08-08 15:48:30,9.75 MB,2.52 MB,12.3 MB
2024-08-08 15:48:45,10.0 MB,2.50 MB,12.5 MB
2024-08-08 15:49:00,9.89 MB,2.51 MB,12.4 MB
2024-08-08 15:49:15,9.61 MB,2.52 MB,12.1 MB
2024-08-08 15:49:30,9.74 MB,2.52 MB,12.3 MB
2024-08-08 15:49:45,9.18 MB,2.50 MB,11.7 MB
2024-08-08 15:50:00,9.60 MB,2.50 MB,12.1 MB
2024-08-08 15:50:15,10.2 MB,2.51 MB,12.7 MB
2024-08-08 15:50:30,10.2 MB,2.49 MB,12.7 MB
2024-08-08 15:50:45,10.3 MB,2.49 MB,12.8 MB
2024-08-08 15:51:00,10.3 MB,2.50 MB,12.8 MB
2024-08-08 15:51:15,10.3 MB,2.48 MB,12.8 MB
2024-08-08 15:51:30,10.0 MB,2.47 MB,12.5 MB
2024-08-08 15:51:45,10.0 MB,2.47 MB,12.5 MB
2024-08-08 15:52:00,9.88 MB,2.47 MB,12.4 MB
2024-08-08 15:52:15,10.0 MB,2.46 MB,12.5 MB
2024-08-08 15:52:30,10.5 MB,2.46 MB,12.9 MB
2024-08-08 15:52:45,9.90 MB,2.44 MB,12.3 MB
2024-08-08 15:53:00,9.90 MB,2.43 MB,12.3 MB
2024-08-08 15:53:15,10.7 MB,2.46 MB,13.1 MB
2024-08-08 15:53:30,10.3 MB,2.43 MB,12.8 MB
2024-08-08 15:53:45,10.3 MB,2.44 MB,12.8 MB
