"Time","Waiting for Executor"
2024-08-08 15:35:00,0
2024-08-08 15:35:15,0
2024-08-08 15:35:30,0
2024-08-08 15:35:45,0
2024-08-08 15:36:00,0
2024-08-08 15:36:15,0
2024-08-08 15:36:30,0
2024-08-08 15:36:45,0
2024-08-08 15:37:00,0
2024-08-08 15:37:15,12
2024-08-08 15:37:30,40
2024-08-08 15:37:45,85
2024-08-08 15:38:00,129
2024-08-08 15:38:15,175
2024-08-08 15:38:30,222
2024-08-08 15:38:45,268
2024-08-08 15:39:00,286
2024-08-08 15:39:15,284
2024-08-08 15:39:30,283
2024-08-08 15:39:45,281
2024-08-08 15:40:00,280
2024-08-08 15:40:15,280
2024-08-08 15:40:30,277
2024-08-08 15:40:45,277
2024-08-08 15:41:00,275
2024-08-08 15:41:15,274
2024-08-08 15:41:30,273
2024-08-08 15:41:45,271
2024-08-08 15:42:00,271
2024-08-08 15:42:15,268
2024-08-08 15:42:30,268
2024-08-08 15:42:45,266
2024-08-08 15:43:00,265
2024-08-08 15:43:15,264
2024-08-08 15:43:30,262
2024-08-08 15:43:45,262
2024-08-08 15:44:00,260
2024-08-08 15:44:15,259
2024-08-08 15:44:30,258
2024-08-08 15:44:45,256
2024-08-08 15:45:00,256
2024-08-08 15:45:15,254
2024-08-08 15:45:30,253
2024-08-08 15:45:45,251
2024-08-08 15:46:00,250
2024-08-08 15:46:15,249
2024-08-08 15:46:30,247
2024-08-08 15:46:45,247
2024-08-08 15:47:00,245
2024-08-08 15:47:15,244
2024-08-08 15:47:30,242
2024-08-08 15:47:45,241
2024-08-08 15:48:00,241
2024-08-08 15:48:15,239
2024-08-08 15:48:30,238
2024-08-08 15:48:45,236
2024-08-08 15:49:00,235
2024-08-08 15:49:15,235
2024-08-08 15:49:30,232
2024-08-08 15:49:45,232
2024-08-08 15:50:00,230
2024-08-08 15:50:15,229
2024-08-08 15:50:30,227
2024-08-08 15:50:45,226
2024-08-08 15:51:00,226
2024-08-08 15:51:15,223
2024-08-08 15:51:30,223
2024-08-08 15:51:45,222
2024-08-08 15:52:00,220
2024-08-08 15:52:15,220
2024-08-08 15:52:30,217
2024-08-08 15:52:45,217
2024-08-08 15:53:00,214
2024-08-08 15:53:15,214
2024-08-08 15:53:30,213
2024-08-08 15:53:45,211
2024-08-08 15:54:00,211
2024-08-08 15:54:15,208
2024-08-08 15:54:30,208
2024-08-08 15:54:45,207
2024-08-08 15:55:00,205
2024-08-08 15:55:15,204
2024-08-08 15:55:30,202
2024-08-08 15:55:45,202
2024-08-08 15:56:00,199
2024-08-08 15:56:15,199
2024-08-08 15:56:30,198
2024-08-08 15:56:45,196
2024-08-08 15:57:00,196
2024-08-08 15:57:15,193
2024-08-08 15:57:30,193
2024-08-08 15:57:45,192
2024-08-08 15:58:00,190
2024-08-08 15:58:15,189
2024-08-08 15:58:30,187
2024-08-08 15:58:45,187
2024-08-08 15:59:00,184
2024-08-08 15:59:15,184
2024-08-08 15:59:30,183
2024-08-08 15:59:45,181
2024-08-08 16:00:00,180
2024-08-08 16:00:15,178
2024-08-08 16:00:30,178
2024-08-08 16:00:45,176
2024-08-08 16:01:00,175
2024-08-08 16:01:15,174
2024-08-08 16:01:30,172
2024-08-08 16:01:45,171
2024-08-08 16:02:00,169
2024-08-08 16:02:15,169
2024-08-08 16:02:30,167
2024-08-08 16:02:45,166
2024-08-08 16:03:00,165
2024-08-08 16:03:15,163
2024-08-08 16:03:30,162
2024-08-08 16:03:45,161
2024-08-08 16:04:00,160
2024-08-08 16:04:15,158
2024-08-08 16:04:30,157
2024-08-08 16:04:45,156
2024-08-08 16:05:00,154
2024-08-08 16:05:15,153
2024-08-08 16:05:30,152
2024-08-08 16:05:45,151
2024-08-08 16:06:00,150
2024-08-08 16:06:15,148
2024-08-08 16:06:30,147
2024-08-08 16:06:45,146
2024-08-08 16:07:00,145
2024-08-08 16:07:15,144
2024-08-08 16:07:30,142
