"Time","Average Compilation Time"
2024-08-08 17:38:00,NaN
2024-08-08 17:38:15,NaN
2024-08-08 17:38:30,NaN
2024-08-08 17:38:45,50.6 ms
2024-08-08 17:39:00,59.8 ms
2024-08-08 17:39:15,63.2 ms
2024-08-08 17:39:30,66.6 ms
2024-08-08 17:39:45,69.9 ms
2024-08-08 17:40:00,75.7 ms
2024-08-08 17:40:15,81.0 ms
2024-08-08 17:40:30,82.5 ms
2024-08-08 17:40:45,78.9 ms
2024-08-08 17:41:00,73.9 ms
2024-08-08 17:41:15,66.3 ms
2024-08-08 17:41:30,59.6 ms
2024-08-08 17:41:45,61.2 ms
2024-08-08 17:42:00,69.1 ms
2024-08-08 17:42:15,77.2 ms
2024-08-08 17:42:30,78.1 ms
2024-08-08 17:42:45,70.8 ms
2024-08-08 17:43:00,77.1 ms
2024-08-08 17:43:15,69.2 ms
2024-08-08 17:43:30,70.7 ms
2024-08-08 17:43:45,58.5 ms
2024-08-08 17:44:00,61.8 ms
2024-08-08 17:44:15,60.9 ms
2024-08-08 17:44:30,NaN
2024-08-08 17:44:45,NaN
2024-08-08 17:45:00,NaN
2024-08-08 17:45:15,NaN
2024-08-08 17:45:30,NaN
2024-08-08 17:45:45,NaN
2024-08-08 17:46:00,NaN
2024-08-08 17:46:15,NaN
2024-08-08 17:46:30,NaN
2024-08-08 17:46:45,NaN
2024-08-08 17:47:00,NaN
2024-08-08 17:47:15,NaN
2024-08-08 17:47:30,NaN
2024-08-08 17:47:45,NaN
2024-08-08 17:48:00,NaN
2024-08-08 17:48:15,NaN
2024-08-08 17:48:30,NaN
2024-08-08 17:48:45,NaN
2024-08-08 17:49:00,NaN
2024-08-08 17:49:15,NaN
2024-08-08 17:49:30,NaN
2024-08-08 17:49:45,NaN
2024-08-08 17:50:00,NaN
