"Time","Number of processed executions p/ minute"
2024-08-08 17:38:15,0
2024-08-08 17:38:30,0
2024-08-08 17:38:45,-5.33
2024-08-08 17:39:00,-48
2024-08-08 17:39:15,-90.7
2024-08-08 17:39:30,-128
2024-08-08 17:39:45,-129
2024-08-08 17:40:00,-136
2024-08-08 17:40:15,-129
2024-08-08 17:40:30,-72
2024-08-08 17:40:45,0
2024-08-08 17:41:00,50.7
2024-08-08 17:41:15,62.7
2024-08-08 17:41:30,57.3
2024-08-08 17:41:45,64
2024-08-08 17:42:00,64.0
2024-08-08 17:42:15,60
2024-08-08 17:42:30,65.3
2024-08-08 17:42:45,56.0
2024-08-08 17:43:00,66.7
2024-08-08 17:43:15,57.3
2024-08-08 17:43:30,56.0
2024-08-08 17:43:45,42.7
2024-08-08 17:44:00,25.3
2024-08-08 17:44:15,10.7
2024-08-08 17:44:30,0
2024-08-08 17:44:45,0
2024-08-08 17:45:00,0
2024-08-08 17:45:15,0
2024-08-08 17:45:30,0
2024-08-08 17:45:45,0
2024-08-08 17:46:00,0
2024-08-08 17:46:15,0
2024-08-08 17:46:30,0
2024-08-08 17:46:45,0
2024-08-08 17:47:00,0
2024-08-08 17:47:15,0
2024-08-08 17:47:30,0
2024-08-08 17:47:45,0
2024-08-08 17:48:00,0
2024-08-08 17:48:15,0
2024-08-08 17:48:30,0
2024-08-08 17:48:45,0
2024-08-08 17:49:00,0
2024-08-08 17:49:15,0
2024-08-08 17:49:30,0
2024-08-08 17:49:45,0
2024-08-08 17:50:00,0
