"Time","Average Compilation Time"
2024-08-08 18:38:00,NaN
2024-08-08 18:38:15,NaN
2024-08-08 18:38:30,NaN
2024-08-08 18:38:45,NaN
2024-08-08 18:39:00,NaN
2024-08-08 18:39:15,98.2 ms
2024-08-08 18:39:30,97.0 ms
2024-08-08 18:39:45,94.4 ms
2024-08-08 18:40:00,90.4 ms
2024-08-08 18:40:15,83.4 ms
2024-08-08 18:40:30,82.3 ms
2024-08-08 18:40:45,84.9 ms
2024-08-08 18:41:00,89.7 ms
2024-08-08 18:41:15,88.7 ms
2024-08-08 18:41:30,84.4 ms
2024-08-08 18:41:45,85.8 ms
2024-08-08 18:42:00,86.5 ms
2024-08-08 18:42:15,88.8 ms
2024-08-08 18:42:30,88.2 ms
2024-08-08 18:42:45,94.3 ms
2024-08-08 18:43:00,94.0 ms
2024-08-08 18:43:15,95.2 ms
2024-08-08 18:43:30,85.2 ms
2024-08-08 18:43:45,82.3 ms
2024-08-08 18:44:00,77.3 ms
2024-08-08 18:44:15,80.7 ms
2024-08-08 18:44:30,80.3 ms
2024-08-08 18:44:45,79.0 ms
2024-08-08 18:45:00,73.6 ms
2024-08-08 18:45:15,61.9 ms
2024-08-08 18:45:30,NaN
2024-08-08 18:45:45,NaN
2024-08-08 18:46:00,NaN
