"Time","Average Compilation Time"
2024-08-08 18:38:00,NaN
2024-08-08 18:38:15,NaN
2024-08-08 18:38:30,NaN
2024-08-08 18:38:45,NaN
2024-08-08 18:39:00,NaN
2024-08-08 18:39:15,2.36 s
2024-08-08 18:39:30,5.49 s
2024-08-08 18:39:45,6.45 s
2024-08-08 18:40:00,7.22 s
2024-08-08 18:40:15,7.38 s
2024-08-08 18:40:30,7.33 s
2024-08-08 18:40:45,7.35 s
2024-08-08 18:41:00,7.23 s
2024-08-08 18:41:15,6.76 s
2024-08-08 18:41:30,6.30 s
2024-08-08 18:41:45,6.04 s
2024-08-08 18:42:00,6.29 s
2024-08-08 18:42:15,6.47 s
2024-08-08 18:42:30,6.75 s
2024-08-08 18:42:45,6.68 s
2024-08-08 18:43:00,6.70 s
2024-08-08 18:43:15,6.52 s
2024-08-08 18:43:30,6.45 s
2024-08-08 18:43:45,6.51 s
2024-08-08 18:44:00,6.56 s
2024-08-08 18:44:15,6.49 s
2024-08-08 18:44:30,6.38 s
2024-08-08 18:44:45,6.20 s
2024-08-08 18:45:00,6.29 s
2024-08-08 18:45:15,5.85 s
2024-08-08 18:45:30,NaN
2024-08-08 18:45:45,NaN
2024-08-08 18:46:00,NaN
