"Time","Average Compilation Time"
2024-08-08 19:06:00,NaN
2024-08-08 19:06:15,NaN
2024-08-08 19:06:30,NaN
2024-08-08 19:06:45,NaN
2024-08-08 19:07:00,NaN
2024-08-08 19:07:15,359 ms
2024-08-08 19:07:30,311 ms
2024-08-08 19:07:45,277 ms
2024-08-08 19:08:00,433 ms
2024-08-08 19:08:15,504 ms
2024-08-08 19:08:30,532 ms
2024-08-08 19:08:45,502 ms
2024-08-08 19:09:00,390 ms
2024-08-08 19:09:15,309 ms
2024-08-08 19:09:30,278 ms
2024-08-08 19:09:45,613 ms
2024-08-08 19:10:00,715 ms
2024-08-08 19:10:15,779 ms
2024-08-08 19:10:30,517 ms
2024-08-08 19:10:45,451 ms
2024-08-08 19:11:00,365 ms
2024-08-08 19:11:15,279 ms
2024-08-08 19:11:30,399 ms
2024-08-08 19:11:45,311 ms
2024-08-08 19:12:00,312 ms
2024-08-08 19:12:15,397 ms
2024-08-08 19:12:30,450 ms
2024-08-08 19:12:45,544 ms
2024-08-08 19:13:00,446 ms
2024-08-08 19:13:15,510 ms
2024-08-08 19:13:30,267 ms
2024-08-08 19:13:45,134 ms
2024-08-08 19:14:00,250 ms
2024-08-08 19:14:15,285 ms
2024-08-08 19:14:30,316 ms
2024-08-08 19:14:45,449 ms
2024-08-08 19:15:00,513 ms
2024-08-08 19:15:15,340 ms
2024-08-08 19:15:30,286 ms
2024-08-08 19:15:45,449 ms
2024-08-08 19:16:00,620 ms
2024-08-08 19:16:15,523 ms
2024-08-08 19:16:30,369 ms
2024-08-08 19:16:45,313 ms
2024-08-08 19:17:00,283 ms
2024-08-08 19:17:15,459 ms
2024-08-08 19:17:30,525 ms
2024-08-08 19:17:45,612 ms
2024-08-08 19:18:00,504 ms
2024-08-08 19:18:15,679 ms
2024-08-08 19:18:30,684 ms
2024-08-08 19:18:45,797 ms
2024-08-08 19:19:00,353 ms
2024-08-08 19:19:15,440 ms
2024-08-08 19:19:30,385 ms
2024-08-08 19:19:45,491 ms
2024-08-08 19:20:00,247 ms
2024-08-08 19:20:15,628 ms
2024-08-08 19:20:30,734 ms
2024-08-08 19:20:45,1.97 s
2024-08-08 19:21:00,1.65 s
2024-08-08 19:21:15,1.64 s
2024-08-08 19:21:30,675 ms
2024-08-08 19:21:45,696 ms
2024-08-08 19:22:00,925 ms
2024-08-08 19:22:15,608 ms
2024-08-08 19:22:30,611 ms
2024-08-08 19:22:45,541 ms
2024-08-08 19:23:00,612 ms
2024-08-08 19:23:15,773 ms
2024-08-08 19:23:30,611 ms
2024-08-08 19:23:45,508 ms
2024-08-08 19:24:00,364 ms
2024-08-08 19:24:15,284 ms
2024-08-08 19:24:30,284 ms
2024-08-08 19:24:45,122 ms
2024-08-08 19:25:00,122 ms
2024-08-08 19:25:15,NaN
2024-08-08 19:25:30,NaN
2024-08-08 19:25:45,NaN
2024-08-08 19:26:00,NaN
