"Time","Average Execution Time"
2024-08-08 15:35:00,NaN
2024-08-08 15:35:15,NaN
2024-08-08 15:35:30,NaN
2024-08-08 15:35:45,NaN
2024-08-08 15:36:00,NaN
2024-08-08 15:36:15,NaN
2024-08-08 15:36:30,NaN
2024-08-08 15:36:45,NaN
2024-08-08 15:37:00,NaN
2024-08-08 15:37:15,NaN
2024-08-08 15:37:30,3.06 s
2024-08-08 15:37:45,3.06 s
2024-08-08 15:38:00,3.03 s
2024-08-08 15:38:15,3.00 s
2024-08-08 15:38:30,3 s
2024-08-08 15:38:45,3.00 s
2024-08-08 15:39:00,3 s
2024-08-08 15:39:15,3 s
2024-08-08 15:39:30,3.00 s
2024-08-08 15:39:45,3 s
2024-08-08 15:40:00,3.00 s
2024-08-08 15:40:15,3 s
2024-08-08 15:40:30,3.05 s
2024-08-08 15:40:45,3.06 s
2024-08-08 15:41:00,3.11 s
2024-08-08 15:41:15,3.08 s
2024-08-08 15:41:30,3.05 s
2024-08-08 15:41:45,3 s
2024-08-08 15:42:00,3.00 s
2024-08-08 15:42:15,3 s
2024-08-08 15:42:30,3.00 s
2024-08-08 15:42:45,3 s
2024-08-08 15:43:00,3.00 s
2024-08-08 15:43:15,3.00 s
2024-08-08 15:43:30,3 s
2024-08-08 15:43:45,3 s
2024-08-08 15:44:00,3.00 s
2024-08-08 15:44:15,3.00 s
2024-08-08 15:44:30,3 s
2024-08-08 15:44:45,3 s
2024-08-08 15:45:00,3 s
2024-08-08 15:45:15,3.00 s
2024-08-08 15:45:30,3 s
2024-08-08 15:45:45,3 s
2024-08-08 15:46:00,3 s
2024-08-08 15:46:15,3.00 s
2024-08-08 15:46:30,3 s
2024-08-08 15:46:45,3.05 s
2024-08-08 15:47:00,3.05 s
2024-08-08 15:47:15,3.07 s
2024-08-08 15:47:30,3.00 s
2024-08-08 15:47:45,3 s
2024-08-08 15:48:00,3 s
2024-08-08 15:48:15,3 s
2024-08-08 15:48:30,3.00 s
2024-08-08 15:48:45,3.00 s
2024-08-08 15:49:00,3 s
2024-08-08 15:49:15,3 s
2024-08-08 15:49:30,3.00 s
2024-08-08 15:49:45,3 s
2024-08-08 15:50:00,3.00 s
2024-08-08 15:50:15,3 s
2024-08-08 15:50:30,3 s
2024-08-08 15:50:45,3 s
2024-08-08 15:51:00,3 s
2024-08-08 15:51:15,3 s
2024-08-08 15:51:30,3 s
2024-08-08 15:51:45,3 s
2024-08-08 15:52:00,3.00 s
2024-08-08 15:52:15,3 s
2024-08-08 15:52:30,3 s
2024-08-08 15:52:45,3 s
2024-08-08 15:53:00,3 s
2024-08-08 15:53:15,3 s
2024-08-08 15:53:30,3.00 s
2024-08-08 15:53:45,3 s
2024-08-08 15:54:00,3 s
2024-08-08 15:54:15,3.00 s
2024-08-08 15:54:30,3 s
2024-08-08 15:54:45,3.00 s
2024-08-08 15:55:00,3.00 s
2024-08-08 15:55:15,3.00 s
2024-08-08 15:55:30,3 s
2024-08-08 15:55:45,3.00 s
2024-08-08 15:56:00,3.00 s
2024-08-08 15:56:15,3 s
2024-08-08 15:56:30,3.00 s
2024-08-08 15:56:45,3.00 s
2024-08-08 15:57:00,3 s
2024-08-08 15:57:15,3.00 s
2024-08-08 15:57:30,3 s
2024-08-08 15:57:45,3.00 s
2024-08-08 15:58:00,3 s
2024-08-08 15:58:15,3 s
2024-08-08 15:58:30,3 s
2024-08-08 15:58:45,3 s
2024-08-08 15:59:00,3.00 s
2024-08-08 15:59:15,3 s
2024-08-08 15:59:30,3 s
2024-08-08 15:59:45,3 s
2024-08-08 16:00:00,3 s
2024-08-08 16:00:15,3.04 s
2024-08-08 16:00:30,3.06 s
2024-08-08 16:00:45,3.04 s
2024-08-08 16:01:00,3 s
2024-08-08 16:01:15,3 s
2024-08-08 16:01:30,3 s
2024-08-08 16:01:45,3 s
2024-08-08 16:02:00,3 s
2024-08-08 16:02:15,3 s
2024-08-08 16:02:30,3 s
2024-08-08 16:02:45,3 s
2024-08-08 16:03:00,3 s
2024-08-08 16:03:15,3 s
2024-08-08 16:03:30,3 s
2024-08-08 16:03:45,3 s
2024-08-08 16:04:00,3 s
2024-08-08 16:04:15,3 s
2024-08-08 16:04:30,3 s
2024-08-08 16:04:45,3 s
2024-08-08 16:05:00,3 s
2024-08-08 16:05:15,3 s
2024-08-08 16:05:30,3 s
2024-08-08 16:05:45,3 s
2024-08-08 16:06:00,3 s
2024-08-08 16:06:15,3 s
2024-08-08 16:06:30,3 s
2024-08-08 16:06:45,3 s
2024-08-08 16:07:00,3.05 s
2024-08-08 16:07:15,3.08 s
2024-08-08 16:07:30,3.08 s
2024-08-08 16:07:45,3.05 s
2024-08-08 16:08:00,3.00 s
2024-08-08 16:08:15,3.00 s
2024-08-08 16:08:30,3.00 s
2024-08-08 16:08:45,3.00 s
2024-08-08 16:09:00,3.00 s
2024-08-08 16:09:15,3.00 s
2024-08-08 16:09:30,3.00 s
2024-08-08 16:09:45,3.00 s
2024-08-08 16:10:00,3.00 s
