Timestamp,I think that I would like to use this dashboard frequently.,I found the dashboard unnecessarily complex.,I thought the dashboard was easy to use.,I think that I would need the support of a technical person to be able to use this dashboard.,I found the various functions in this dashboard were well integrated.,I thought there was too much inconsistency in this dashboard.,I would imagine that most people would learn to use this dashboard very quickly.,I found the dashboard very cumbersome to use.,I felt very confident using the dashboard.,I needed to learn a lot of things before I could get going with this dashboard.,Using this dashboard would enable me to accomplish tasks more quickly.  ,Using this dashboard would improve my performance.,Using this dashboard would increase my productivity.,Using this dashboard would enhance my effectiveness.,Using this dashboard would make it easier to accomplish my goals.,I would find this dashboard useful in my tasks.,Learning to operate this dashboard would be easy for me.,I would find it easy to get this dashboard to do what I want it to do.,My interaction with this dashboard would be clear and understandable.,I would find this dashboard clear and understandable.,It would be easy for me to become skillful at using this dashboard.,I would find this dashboard easy to use.,"The clarity of the visual elements (graphs, student progress bars, heatmaps).  ","The responsiveness of the dashboard (e.g., interactivity). ",The overall design and layout of the dashboard. ,The amount of information presented for each student. ,The relevance of the feedback provided by the dashboard for improving my performance. ,The ease of understanding the analytics and metrics presented. ,The overall experience using the dashboard. ,What features of the dashboard did you find most helpful in tracking your learning? ,What improvements would you suggest to make the dashboard more user-friendly? ,"How did the dashboard help you in self-regulating your learning (e.g., setting goals, monitoring progress)? ",Is there any information you feel was missing from the dashboard that would be useful for your learning? 
20/10/2024 22:23:23,4,2,4,1,5,1,4,3,5,1,5,5,5,5,5,4,5,4,4,4,5,4,5,4,5,5,5,5,5,Submissions Tab,"Offer a tutorial on how to navigate through the pages, teaching coders how to use diverse functionalities.","By turning learning into a challenge, in my opinion, users are more interested in finishing the exercise, and therefore learning.",Provide the possibility of resetting the dashboard
20/10/2024 23:34:55,4,3,4,1,4,1,5,3,3,4,2,4,3,3,3,4,5,4,5,5,4,5,5,4,4,5,5,5,5,the Summary page,Make the Summary and Sessions Overview sections open automatically,The use of graphs helps me track my progress,Its perfect
21/10/2024 01:38:27,3,3,4,1,4,1,5,2,4,1,3,3,3,3,3,3,5,5,4,5,5,5,4,5,4,3,4,4,4,Time spent at each section,None,Understanding the ratio of time spent not coding ,None
21/10/2024 03:19:55,4,3,5,4,5,1,4,3,3,2,2,2,3,2,2,3,4,4,3,4,3,3,5,5,5,3,3,3,4,High Score Timeline,"Please remove the Key Strokes Breakdown, to evasive. No one has to know!",It didn't im dumb.,"No, there was to much things to look for. And I couldn't decide who could see it! My info, my choice."
21/10/2024 14:10:51,4,1,4,1,5,1,5,1,5,1,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,"Total stats (time, number of submissions etc.)",Allow the user to view the same information through different types of graphs,Monitoring progress ,Perhaps % of initial code used in the final solution.
21/10/2024 14:58:57,4,4,4,1,4,1,5,1,4,1,4,4,4,3,3,4,5,5,4,4,5,5,4,4,4,5,4,4,4,"Focus breakdown, Code History, Correctness ratio",Can't think of anything,Allowed me to see where i spent the most time while trying to complete my goals,"Maybe telling me what the average time to complete a given goal is, and how my time compared to that"
21/10/2024 15:15:35,4,2,5,1,5,1,5,1,5,1,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,The focus breakdown,None,A bit not much,"print(""None"")"
21/10/2024 20:48:12,4,1,5,1,5,1,5,1,4,1,3,3,2,3,3,3,5,5,5,5,5,5,4,3,4,4,3,4,4,Code history and Focus breakdown,Reduce the need to scroll so much.,Yes.,No.
21/10/2024 21:34:19,4,4,3,2,5,1,2,1,3,2,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,5,4,Feedback,Bigger portion of the display for code writting,Time tracking,No
21/10/2024 22:46:36,4,4,3,1,3,2,2,3,4,3,4,4,4,4,4,4,3,4,3,3,4,3,5,5,5,5,3,4,5,correctness ratio,divide into tabs instead of scrolling down,"seeing a lower active percentage creates ""guilt"", and therefore ""forces"" me to focus (in a non-overwhelming way)",no
